 N� do im�vel;UF;Cidade;Bairro;Endere�o;Pre�o;Valor de avalia��o;Desconto;Descri��o;Modalidade de venda;Link de acesso
 1600000087061 ;DF ;TAGUATINGA ;TAGUATINGA SUL ;SETOR DE MANSOES TAGUATINGA, N. SN, UNIDADE 4A LT 04 CONJ 18 ;1.630.766,00;1.605.000,00;0.00;Casa, 578.23 de �rea total, 578.23 de �rea privativa, 947.28 de �rea do terreno,  5 qto(s), varanda, WC, WC Emp, 3 sala(s), 1 lavabo(s), DCE, cozinha.;Leil�o SFI - Edital �nico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1600000087061
 1555520654077 ;DF ;TAGUATINGA ;SETOR INDUSTRIAL ;QI 24, N. SN, Apto 408, BL A LT 14 A 27 VAGA 542 ;354.326,00;313.000,00;0.00;Apartamento, 84.34 de �rea total, 52.22 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leil�o SFI - Edital �nico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555520654077
 1500000000001;GO;GOIANIA;SETOR BUENO;Rua T-30, N. SN, Apto 101, ED. PLATINUM;480.000,00;600.000,00;20.00;Apartamento, 70.00 de área privativa, 2 qto(s), suíte, lazer completo.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000001
1500000000002;GO;GOIANIA;PARQUE AMAZONIA;Avenida T-4, N. 500, Apto 502, RES. PARQUE DOS BURITIS;280.000,00;350.000,00;20.00;Apartamento, 65.00 de área privativa, 2 qto(s), varanda.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000002
1500000000003;GO;GOIANIA;JARDIM AMERICA;Rua C-155, N. SN, CS 03, LT 05;350.000,00;450.000,00;22.22;Casa, 120.00 de área privativa, 250.00 de área do terreno, 3 qto(s), 1 vaga.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000003
1500000000004;GO;APARECIDA DE GOIANIA;SETOR JARDIM LUZ;Rua X-10, N. 100, LT 01, QD 05;150.000,00;190.000,00;21.05;Terreno, 300.00 de área do terreno, plano, murado.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000004
1500000000005;GO;ANAPOLIS;CENTRO;Rua Quinze, N. 80, Apto 201, ED. ANAVILLE;220.000,00;280.000,00;21.43;Apartamento, 55.00 de área privativa, 2 qto(s), bem localizado.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000005
1500000000006;GO;RIO VERDE;BAIRRO POPULAR;Rua A, N. SN, CS 01, LT 10;180.000,00;230.000,00;21.74;Casa, 90.00 de área privativa, 180.00 de área do terreno, 2 qto(s), varanda.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000006
1500000000007;GO;LUZIANIA;SETOR CENTRAL;Rua Doutor, N. 20, LT 05, QD 02;95.000,00;120.000,00;20.83;Lote, 150.00 de área do terreno, próximo a praça.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000007
1500000000008;GO;GOIANIA;SETOR MARISTA;Rua 147, N. 200, Apto 1803, ED. SKY VIEW;650.000,00;820.000,00;20.73;Apartamento, 95.00 de área privativa, 3 qto(s), 2 suítes, varanda gourmet.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000008
1500000000009;GO;GOIANIA;SETOR OESTE;Rua 9, N. SN, Apto 605, RES. IMPERADOR;320.000,00;400.000,00;20.00;Apartamento, 75.00 de área privativa, 2 qto(s), reformado.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000009
1500000000010;GO;ANAPOLIS;VILA JARDIM;Rua Dez, N. 50, CS 02, LT 08;160.000,00;200.000,00;20.00;Casa, 85.00 de área privativa, 150.00 de área do terreno, 2 qto(s), quintal.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000010
1500000000011;GO;RIO VERDE;SETOR CENTRAL;Rua Treze, N. SN, Apto 804, ED. RIO VERDE CENTRO;250.000,00;310.000,00;19.35;Apartamento, 60.00 de área privativa, 2 qto(s), garagem coberta.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000011
1500000000012;GO;APARECIDA DE GOIANIA;CENTRO;Avenida das Nações, N. 300, Apto 301, ED. GOIÁS;190.000,00;240.000,00;20.83;Apartamento, 50.00 de área privativa, 1 qto(s), bom para investimento.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000012
1500000000013;GO;GOIANIA;SETOR BUENO;Rua T-48, N. 30, CS 01, LT 03;400.000,00;500.000,00;20.00;Casa, 150.00 de área privativa, 300.00 de área do terreno, 3 qto(s), 2 vagas.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000013
1500000000014;GO;GOIANIA;SETOR SUL;Rua 83, N. SN, Apto 1102, ED. ARTE PLAZA;380.000,00;470.000,00;19.15;Apartamento, 80.00 de área privativa, 2 qto(s), suíte, perto de parque.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000014
1500000000015;GO;ANAPOLIS;PARQUE DOS PIRINEUS;Rua K, N. 20, LT 12, QD 07;120.000,00;150.000,00;20.00;Lote, 200.00 de área do terreno, em aclive.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000015
1500000000016;GO;RIO VERDE;VILA MARIA;Rua Quatro, N. 50, CS 03, LT 09;170.000,00;210.000,00;19.05;Casa, 80.00 de área privativa, 160.00 de área do terreno, 2 qto(s), em condomínio fechado.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000016
1500000000017;GO;APARECIDA DE GOIANIA;VILA BRASILIA;Rua Nove, N. SN, Apto 405, ED. JARDIM SUL;210.000,00;260.000,00;19.23;Apartamento, 58.00 de área privativa, 2 qto(s), lazer básico.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000017
1500000000018;GO;GOIANIA;SETOR NOVA SUIÇA;Avenida T-63, N. 1000, Apto 2201, ED. SAN FRANCISCO;550.000,00;680.000,00;19.12;Apartamento, 85.00 de área privativa, 3 qto(s), suíte, alto padrão.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000018
1500000000019;GO;LUZIANIA;PARQUE ESTRELA DALVA;Rua Goiás, N. 8, CS 04, LT 15;130.000,00;160.000,00;18.75;Casa, 70.00 de área privativa, 120.00 de área do terreno, 2 qto(s), sem garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000019
1500000000020;GO;GOIANIA;SETOR PEDRO LUDOVICO;Rua Mil, N. 15, LT 02, QD 01;200.000,00;250.000,00;20.00;Lote, 360.00 de área do terreno, de esquina.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000020
1500000000021;GO;GOIANIA;SETOR JARDIM GOIAS;Rua 48, N. SN, Apto 1502, ED. EUROPA;450.000,00;560.000,00;19.50;Apartamento, 78.00 de área privativa, 3 qto(s), suíte, lazer completo.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000021
1500000000022;GO;ANAPOLIS;VILA VITORIA;Rua Vinte, N. 10, CS 05, LT 11;190.000,00;240.000,00;20.83;Casa, 95.00 de área privativa, 180.00 de área do terreno, 3 qto(s), laje.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000022
1500000000023;GO;RIO VERDE;BAIRRO JARDIM FLAMBOYANT;Rua G, N. SN, Apto 701, RES. RIO VERDE GARDEN;240.000,00;300.000,00;20.00;Apartamento, 62.00 de área privativa, 2 qto(s), varanda fechada.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000023
1500000000024;GO;APARECIDA DE GOIANIA;SETOR BELA VISTA;Rua M-5, N. 80, LT 04, QD 03;160.000,00;200.000,00;20.00;Terreno, 250.00 de área do terreno, próximo a avenida comercial.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000024
1500000000025;GO;GOIANIA;SETOR UNIVERSITARIO;Rua 230, N. 500, Apto 903, ED. ESTUDANTE;260.000,00;330.000,00;21.10;Apartamento, 50.00 de área privativa, 1 qto(s), perto da universidade.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000025
1500000000026;GO;GOIANIA;SETOR CAMBUÍ;Rua 26, N. SN, CS 06, LT 01;300.000,00;380.000,00;21.05;Casa, 110.00 de área privativa, 200.00 de área do terreno, 3 qto(s), murada.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000026
1500000000027;GO;ANAPOLIS;RESIDENCIAL FLAMBOYANT;Rua do Ipê, N. 15, Apto 102, RES. FLAMBOYANT;280.000,00;350.000,00;20.00;Apartamento, 68.00 de área privativa, 2 qto(s), suíte, varanda.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000027
1500000000028;GO;RIO VERDE;BAIRRO VILA OLIMPIA;Rua do Lago, N. 100, LT 15, QD 05;130.000,00;165.000,00;21.21;Terreno, 280.00 de área do terreno, com asfalto.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000028
1500000000029;GO;APARECIDA DE GOIANIA;SETOR CONDE DOS ARCOS;Rua L-3, N. SN, CS 07, LT 02;180.000,00;220.000,00;18.18;Casa, 85.00 de área privativa, 150.00 de área do terreno, 2 qto(s), área de serviço.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000029
1500000000030;GO;GOIANIA;SETOR ALTO DA GLORIA;Rua T-5, N. 800, Apto 2004, ED. OPUS;700.000,00;880.000,00;20.45;Apartamento, 105.00 de área privativa, 3 qto(s), 2 suítes, 2 vagas.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000030
1500000000031;GO;LUZIANIA;SETOR MANDUCA;Rua Um, N. 30, LT 06, QD 04;100.000,00;125.000,00;20.00;Terreno, 180.00 de área do terreno, com muro de arrimo.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000031
1500000000032;GO;GOIANIA;SETOR AEROPORTO;Rua 2-A, N. SN, Apto 1001, RES. JARDINS;350.000,00;430.000,00;18.60;Apartamento, 70.00 de área privativa, 2 qto(s), suíte, reformado.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000032
1500000000033;GO;GOIANIA;SETOR SERRINHA;Rua C-250, N. 120, CS 08, LT 05;420.000,00;520.000,00;19.23;Casa, 140.00 de área privativa, 280.00 de área do terreno, 3 qto(s), edícula.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000033
1500000000034;GO;ANAPOLIS;CIDADE JARDIM;Rua Dezessete, N. 50, Apto 1104, ED. JARDIM SUL;230.000,00;290.000,00;20.69;Apartamento, 58.00 de área privativa, 2 qto(s), garagem subsolo.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000034
1500000000035;GO;RIO VERDE;PARQUE DOS BURITIS;Rua Aroeira, N. SN, LT 10, QD 02;110.000,00;140.000,00;21.43;Terreno, 320.00 de área do terreno, murado em 3 lados.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000035
1500000000036;GO;APARECIDA DE GOIANIA;SETOR GARAVELO;Rua 5, N. 20, CS 09, LT 06;150.000,00;190.000,00;21.05;Casa, 75.00 de área privativa, 140.00 de área do terreno, 2 qto(s), com forro.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000036
1500000000037;GO;GOIANIA;SETOR CENTRAL;Avenida Goiás, N. 80, Apto 705, ED. JUIZ DE FORA;290.000,00;360.000,00;19.44;Apartamento, 65.00 de área privativa, 2 qto(s), frente para a rua.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000037
1500000000038;GO;GOIANIA;VILA ALPES;Rua L-10, N. SN, Apto 102, RES. ALPES;220.000,00;280.000,00;21.43;Apartamento, 55.00 de área privativa, 2 qto(s), perto de faculdade.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000038
1500000000039;GO;ANAPOLIS;VILA FABRIL;Rua Trinta, N. 100, LT 11, QD 08;140.000,00;175.000,00;20.00;Terreno, 220.00 de área do terreno, com estrutura pronta.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000039
1500000000040;GO;RIO VERDE;SETOR PRIMAVERA;Rua das Flores, N. 30, CS 10, LT 07;210.000,00;260.000,00;19.23;Casa, 100.00 de área privativa, 200.00 de área do terreno, 3 qto(s), suíte.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000040
1500000000041;GO;APARECIDA DE GOIANIA;SETOR MORADA DOS PAINÉIS;Rua X-1, N. SN, Apto 801, ED. NOVA VISTA;250.000,00;315.000,00;20.63;Apartamento, 60.00 de área privativa, 2 qto(s), varanda fechada.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000041
1500000000042;GO;GOIANIA;SETOR BUENO;Rua T-38, N. 50, Apto 2503, RES. NEW YORK;750.000,00;940.000,00;20.10;Apartamento, 110.00 de área privativa, 3 qto(s), 2 suítes, 2 vagas, alto padrão.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000042
1500000000043;GO;LUZIANIA;JARDIM AMERICA;Rua P, N. 5, LT 12, QD 05;110.000,00;135.000,00;18.46;Lote, 160.00 de área do terreno, com água e luz.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000043
1500000000044;GO;GOIANIA;SETOR AEROPORTO;Rua 2-B, N. 80, CS 11, LT 08;370.000,00;460.000,00;19.60;Casa, 130.00 de área privativa, 260.00 de área do terreno, 3 qto(s), reformada.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000044
1500000000045;GO;GOIANIA;SETOR OESTE;Rua 25, N. SN, Apto 1405, ED. JARDIM SUL;310.000,00;390.000,00;20.45;Apartamento, 72.00 de área privativa, 2 qto(s), suíte, lazer.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000045
1500000000046;GO;ANAPOLIS;VILA SANTA MARIA DE NAZARE;Rua Santa Luzia, N. 10, CS 12, LT 09;170.000,00;210.000,00;19.05;Casa, 80.00 de área privativa, 150.00 de área do terreno, 2 qto(s), cozinha americana.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000046
1500000000047;GO;RIO VERDE;BAIRRO JARDIM MONTE VERDE;Rua dos Coqueiros, N. 50, Apto 1201, RES. MONTE VERDE;260.000,00;320.000,00;18.75;Apartamento, 65.00 de área privativa, 2 qto(s), lazer completo, andar alto.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000047
1500000000048;GO;APARECIDA DE GOIANIA;SETOR CIDADE LIVRE;Rua Dez, N. SN, LT 13, QD 10;130.000,00;160.000,00;18.75;Lote, 220.00 de área do terreno, próximo a escolas.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000048
1500000000049;GO;GOIANIA;SETOR BUENO;Rua T-12, N. 150, Apto 301, ED. VILA NOVA;390.000,00;480.000,00;18.88;Apartamento, 85.00 de área privativa, 3 qto(s), suíte, perto de shopping.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000049
1500000000050;GO;GOIANIA;SETOR JARDIM GOIAS;Rua 56, N. 300, Apto 2205, ED. JARDIM SUL;520.000,00;650.000,00;20.00;Apartamento, 90.00 de área privativa, 3 qto(s), 2 suítes, 2 vagas.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000050
1500000000051;GO;ANAPOLIS;VILA SANTA CATARINA;Rua Santa Catarina, N. 5, CS 14, LT 11;190.000,00;240.000,00;20.83;Casa, 90.00 de área privativa, 180.00 de área do terreno, 2 qto(s), bom estado de conservação.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000051
1500000000052;GO;RIO VERDE;BAIRRO VILA AMERICANA;Rua Vinte e Um, N. SN, LT 15, QD 12;140.000,00;175.000,00;20.00;Terreno, 300.00 de área do terreno, em declive.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000052
1500000000053;GO;APARECIDA DE GOIANIA;SETOR JARDIM OLIMPO;Rua O-1, N. 100, Apto 502, RES. OLIMPO;230.000,00;290.000,00;20.69;Apartamento, 65.00 de área privativa, 2 qto(s), varanda ampla.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000053
1500000000054;GO;GOIANIA;SETOR MARISTA;Rua 135, N. 10, Apto 2801, ED. EVOLUTION;800.000,00;1.000.000,00;20.00;Apartamento, 120.00 de área privativa, 3 qto(s), 3 suítes, 3 vagas, lazer completo.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000054
1500000000055;GO;LUZIANIA;SETOR CENTRAL;Rua Quinze de Novembro, N. 80, CS 16, LT 13;170.000,00;210.000,00;19.05;Casa, 90.00 de área privativa, 180.00 de área do terreno, 3 qto(s), forro PVC.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000055
1500000000056;GO;GOIANIA;SETOR OESTE;Rua T-2, N. SN, Apto 1603, RES. GRAN LISBOA;340.000,00;420.000,00;19.05;Apartamento, 75.00 de área privativa, 2 qto(s), suíte, cozinha americana.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000056
1500000000057;GO;GOIANIA;SETOR BUENO;Rua T-55, N. 200, Apto 1504, ED. TOWER;500.000,00;620.000,00;19.35;Apartamento, 88.00 de área privativa, 3 qto(s), suíte, 2 vagas.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000057
1500000000058;GO;ANAPOLIS;VILA INDUSTRIAL;Rua Doze, N. 30, LT 17, QD 14;120.000,00;150.000,00;20.00;Lote, 250.00 de área do terreno, de esquina, comercial.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000058
1500000000059;GO;RIO VERDE;BAIRRO JARDIM PRESIDENTE;Rua Oito, N. SN, CS 18, LT 15;200.000,00;250.000,00;20.00;Casa, 95.00 de área privativa, 200.00 de área do terreno, 3 qto(s), reformada.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000059
1500000000060;GO;APARECIDA DE GOIANIA;SETOR PARQUE FLAMBOYANT;Rua T-5, N. 80, Apto 603, ED. VERDE VILLE;270.000,00;340.000,00;20.59;Apartamento, 70.00 de área privativa, 2 qto(s), varanda, lazer básico.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000060
1500000000061;GO;GOIANIA;SETOR BUENO;Rua T-29, N. 100, Apto 1802, ED. LISBOA;490.000,00;610.000,00;19.70;Apartamento, 75.00 de área privativa, 2 qto(s), suíte, armários.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000061
1500000000062;GO;GOIANIA;JARDIM AMERICA;Rua C-25, N. SN, Apto 401, RES. PORTUGAL;330.000,00;410.000,00;19.51;Apartamento, 70.00 de área privativa, 2 qto(s), lazer completo.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000062
1500000000063;GO;ANAPOLIS;VILA GOMES;Rua 20, N. 50, CS 19, LT 16;140.000,00;175.000,00;20.00;Casa, 75.00 de área privativa, 140.00 de área do terreno, 2 qto(s), quintal pequeno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000063
1500000000064;GO;RIO VERDE;BAIRRO POPULAR;Rua C, N. 80, LT 20, QD 17;150.000,00;190.000,00;21.05;Lote, 300.00 de área do terreno, pronto para construir.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000064
1500000000065;GO;APARECIDA DE GOIANIA;SETOR INDUSTRIAL;Rua I-1, N. SN, CS 21, LT 18;200.000,00;250.000,00;20.00;Casa, 95.00 de área privativa, 180.00 de área do terreno, 3 qto(s), bom para comércio.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000065
1500000000066;GO;GOIANIA;SETOR MARISTA;Rua 112, N. 500, Apto 2404, ED. MARISTA PRIME;680.000,00;850.000,00;20.00;Apartamento, 100.00 de área privativa, 3 qto(s), 2 suítes, 2 vagas.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000066
1500000000067;GO;LUZIANIA;PARQUE ESTRELA DALVA;Rua Goiás, N. 15, Apto 502, RES. ESTRELA;150.000,00;185.000,00;18.92;Apartamento, 48.00 de área privativa, 2 qto(s), 1 vaga.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000067
1500000000068;GO;GOIANIA;SETOR PEDRO LUDOVICO;Avenida Circular, N. SN, CS 22, LT 19;360.000,00;450.000,00;20.00;Casa, 125.00 de área privativa, 240.00 de área do terreno, 3 qto(s), 2 vagas, murada.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000068
1500000000069;GO;GOIANIA;SETOR NOVA SUIÇA;Rua C-267, N. 50, Apto 1005, ED. JARDIM SUL;430.000,00;540.000,00;20.37;Apartamento, 80.00 de área privativa, 3 qto(s), suíte, lazer completo.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000069
1500000000070;GO;ANAPOLIS;VILA VITORIA;Rua Vinte, N. SN, LT 23, QD 20;110.000,00;140.000,00;21.43;Terreno, 200.00 de área do terreno, com estrutura antiga.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000070
1500000000071;GO;RIO VERDE;BAIRRO JARDIM FLAMBOYANT;Rua das Mangueiras, N. 30, CS 24, LT 21;220.000,00;280.000,00;21.43;Casa, 110.00 de área privativa, 220.00 de área do terreno, 3 qto(s), reformada.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000071
1500000000072;GO;APARECIDA DE GOIANIA;SETOR BELA VISTA;Rua M-5, N. SN, Apto 1202, RES. BELA VISTA;250.000,00;310.000,00;19.35;Apartamento, 65.00 de área privativa, 2 qto(s), 1 vaga.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000072
1500000000073;GO;GOIANIA;SETOR UNIVERSITARIO;Rua 240, N. 100, Apto 1501, ED. UNIVERSITARIO;280.000,00;350.000,00;20.00;Apartamento, 60.00 de área privativa, 2 qto(s), perto do terminal.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000073
1500000000074;GO;GOIANIA;SETOR JARDIM AMERICA;Rua C-145, N. 20, CS 25, LT 22;330.000,00;410.000,00;19.51;Casa, 120.00 de área privativa, 260.00 de área do terreno, 3 qto(s), edícula.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000074
1500000000075;GO;ANAPOLIS;RESIDENCIAL FLAMBOYANT;Rua dos Jacarandás, N. SN, LT 26, QD 23;160.000,00;200.000,00;20.00;Terreno, 300.00 de área do terreno, plano, murado.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000075
1500000000076;GO;RIO VERDE;BAIRRO VILA OLIMPIA;Rua do Estádio, N. 10, Apto 804, ED. RIO VERDE;290.000,00;360.000,00;19.44;Apartamento, 72.00 de área privativa, 2 qto(s), suíte, lazer completo.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000076
1500000000077;GO;APARECIDA DE GOIANIA;SETOR CONDE DOS ARCOS;Rua D-5, N. SN, CS 27, LT 24;170.000,00;210.000,00;19.05;Casa, 85.00 de área privativa, 160.00 de área do terreno, 2 qto(s), com garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000077
1500000000078;GO;GOIANIA;SETOR ALTO DA GLORIA;Rua T-6, N. 1500, Apto 1601, ED. ESPLANADA;600.000,00;750.000,00;20.00;Apartamento, 95.00 de área privativa, 3 qto(s), 2 suítes, 2 vagas.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000078
1500000000079;GO;LUZIANIA;SETOR MANDUCA;Rua Sete, N. 50, LT 28, QD 25;90.000,00;110.000,00;18.18;Terreno, 150.00 de área do terreno, de esquina.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000079
1500000000080;GO;GOIANIA;SETOR AEROPORTO;Avenida P, N. SN, Apto 902, RES. SANTA FÉ;320.000,00;400.000,00;20.00;Apartamento, 68.00 de área privativa, 2 qto(s), suíte, varanda.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000080
1500000000081;GO;GOIANIA;SETOR SERRINHA;Rua C-255, N. 50, CS 29, LT 26;380.000,00;470.000,00;19.15;Casa, 120.00 de área privativa, 250.00 de área do terreno, 3 qto(s), forro e telhado novos.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1500000000081
